label,accuracy,precision,recall,f1
Naive Bayes / Stem + BoW,0.9411,0.953034178255148,0.9411,0.9456489540495097
Logistic Regression / Stem + BoW,0.9624,0.9593849200136934,0.9624,0.959936138809576
SVM / Stem + BoW,0.9575,0.9544380530427338,0.9575,0.9504380978520649
Naive Bayes / Stem + TF-IDF,0.9408,0.9412268001272132,0.9408,0.9182741291319051
Logistic Regression / Stem + TF-IDF,0.9561,0.9557392028764985,0.9561,0.9466019671172502
SVM / Stem + TF-IDF,0.9659,0.9635359556865729,0.9659,0.9626769895364714
Naive Bayes / Lemma + BoW,0.9432,0.954262175351007,0.9432,0.9474126925168961
Logistic Regression / Lemma + BoW,0.9641,0.9613280465949822,0.9641,0.961697327317009
SVM / Lemma + BoW,0.9588,0.9561044492520084,0.9588,0.9521979301374542
Naive Bayes / Lemma + TF-IDF,0.9408,0.9405599996937833,0.9408,0.9184144548286606
Logistic Regression / Lemma + TF-IDF,0.9546,0.9544835030495288,0.9546,0.9440947284497204
SVM / Lemma + TF-IDF,0.9659,0.9634620232693425,0.9659,0.9628523385971929
